Sublibrary|Collection|Material Type|Item Status|IPS|Temp Loc|Item Count
TNS Scherman Library|Annex|Scores|Regular loan|Not in Process|No|1
TNS Scherman Library|SpecCol|Books|Regular loan|Not in Process|No|2
TNS Scherman Library|Full Score|Scores|Lost/Reorder Review|Lost/Reorder Review|Yes|1
TNS Scherman Library|Annex|Visual Materials|Multi-Media|Not in Process|No|14
TNS Scherman Library|Audio Visual|Books|Recorded music|Not in Process|No|3
TNS Scherman Library|Reserve Collection|Videos|Video|Not in Process|Yes|2
TNS Scherman Library|Audio Visual|Books|Reserve 4 hour loan|Not in Process|No|3
TNS Scherman Library|Miniature Scores|Scores|Depository|Depository|No|1128
TNS Scherman Library|Reference|Books|Labeling|Labeling|No|1
TNS Scherman Library|Audio Visual|Videos|Video|Not in Process|Yes|5
TNS Scherman Library|SpecCol|Scores|Regular loan|Not in Process|No|1
TNS Scherman Library|Reference|Periodicals|Missing|Missing|No|2
TNS Scherman Library|Main Collection|Books|In Cataloging|In Cataloging|No|5
TNS Scherman Library|Main Collection|Periodicals|Depository|Depository|No|22
TNS Scherman Library|Full Score|Periodicals|Received|Received|No|1
TNS Scherman Library|Main Collection|Books|Bindery prep|Bindery prep|No|11
TNS Scherman Library|Miniature Scores|Scores|Lost and Paid|Lost and Paid|Yes|6
TNS Scherman Library|Reference|Books|Depository|Depository|No|202
TNS Scherman Library|Music|Scores|Lost/Reorder Review|Lost/Reorder Review|Yes|24
TNS Scherman Library|Oversize Collection|Books|Depository|Depository|No|3
TNS Scherman Library|Main Collection|Scores|Regular loan|Not in Process|No|178
TNS Scherman Library|Periodicals|Periodicals|Library Use Only|Not in Process|No|1
TNS Scherman Library|Audio Visual|Videos|On Search|On Search|No|1
TNS Scherman Library|Main Collection|Books|On Order|On order|Yes|5
TNS Scherman Library|Audio Visual|Sound Recordings|Recorded music|Not in Process|No|6810
TNS Scherman Library|Circ Desk|Books|In Cataloging|In Cataloging|No|2
TNS Scherman Library|SpecCol|Scores|Library Use Only|Not in Process|No|36
TNS Scherman Library|Music|Books|Bindery prep|Bindery prep|No|3
TNS Scherman Library|Main Collection|Books|Lost and Paid|Lost and Paid|No|1
TNS Scherman Library|Music Reference|Scores|Bindery prep|Bindery prep|No|3
TNS Scherman Library|Audio Visual|Scores|Depository|Depository|No|1
TNS Scherman Library|Miniature Scores|Scores|Depository|Depository|Yes|2
TNS Scherman Library|Audio Visual|Sound Recordings|Reserve 4 hour loan|Not in Process|Yes|1
TNS Scherman Library|Miniature Scores|Books|Regular loan|Not in Process|No|3
TNS Scherman Library|SpecCol|Scores|Bindery prep|Bindery prep|No|1
TNS Scherman Library|Annex|Books|Regular loan|Not in Process|No|1
TNS Scherman Library|SpecCol|Periodicals|Depository|Depository|No|3
TNS Scherman Library|SpecCol|Mixed Materials|Library Use Only|Not in Process|No|44
TNS Scherman Library|Audio Visual|Sound Recordings|Video|Not in Process|No|1
TNS Scherman Library|Reserve Collection|Scores|Reserve 4 hour loan|Not in Process|Yes|83
TNS Scherman Library|Music|Scores|Depository|Depository|No|5366
TNS Scherman Library|Full Score|Scores|Being Repaired|Being Repaired|No|1
TNS Scherman Library|Full Score|Scores|Regular loan|Not in Process|No|2265
TNS Scherman Library|Audio Visual|Sound Recordings|Out to Cat|Out to Cat|No|24
TNS Scherman Library|Music|Scores|Billed as lost|Billed as lost|No|1
TNS Scherman Library|Main Collection|Periodicals|Periodicals|Not in Process|No|3
TNS Scherman Library|Audio Visual|Sound Recordings|On Search|On Search|No|1
